"","custname","region","partnum","revenue","cost","margin"
"2241","PLIBRICO REFRACTORY","01-East",779959124,817.62,332.68,484.94
"2242","PLIBRICO REFRACTORY","01-East",733444200,670.8,115.92,554.88
"2243","PLIBRICO REFRACTORY","01-East",739781100,620.32,422.89,197.43
"2244","PLIBRICO REFRACTORY","01-East",779959125,547.56,222.65,324.91
"2245","PLIBRICO REFRACTORY","01-East",764821000,495,140.91,354.09
"2246","PLIBRICO REFRACTORY","01-East",739561000,482.98,170.44,312.54
"2247","PLIBRICO REFRACTORY","01-East",733464500,412.6,65.06,347.54
"2248","PLIBRICO REFRACTORY","01-East",733211000,251.3,53.2,198.1
"2249","PLIBRICO REFRACTORY","01-East",733211050,251.3,55.91,195.39
"2250","PLIBRICO REFRACTORY","01-East",779987718,246,137.09,108.91
"2251","PLIBRICO REFRACTORY","01-East",764482000,79.6,17.4,62.2
"2252","POLYMERIC EXTRUDED PROD.","01-East",764481000,360,17.59,342.41
"2253","PRAXAIR INC.","01-East",739561000,362.23,85.22,277.01
"2254","PRAXAIR","01-East",739781100,2513.66,1310.72,1202.94
"2255","PRAXAIR","01-East",734822000,2330,402.38,1927.62
"2256","PRAXAIR","01-East",738561000,1700.35,496.55,1203.8
"2257","PRAXAIR","01-East",733464400,1222,165.96,1056.04
"2258","PRAXAIR","01-East",738521000,1171.58,430.36,741.22
"2259","PRAXAIR","01-East",777601000,996.48,189.62,806.86
"2260","PRAXAIR","01-East",738401000,975.56,461.81,513.75
"2261","PRAXAIR","01-East",738361000,896.18,473.35,422.83
"2262","PRAXAIR","01-East",734211200,787.76,93.5,694.26
"2263","PRAXAIR","01-East",733211000,780.5,106.4,674.1
"2264","PRAXAIR","01-East",734900000,499.62,95.09,404.53
"2265","PRAXAIR","01-East",738381000,475.2,346.8,128.4
"2266","PRAXAIR","01-East",740063000,471.74,120.1,351.64
"2267","PRAXAIR","01-East",764901000,425.25,16.14,409.11
"2268","PRAXAIR","01-East",764481000,346,16.94,329.06
"2269","PRAXAIR","01-East",739451000,327.74,111.56,216.18
"2270","PRAXAIR","01-East",733464500,298,29.52,268.48
"2271","PRAXAIR","01-East",739390000,268.85,82.43,186.42
"2272","PRC-DESOTO INTERNATIONAL","01-East",720252303,6185.7,145.78,6039.92
"2273","PRECISION ELECTRO MINERAL","01-East",770260000,3820.5,275.92,3544.58
"2274","PRECISION FITTING & GAUGE","01-East",734990000,715.2,82.94,632.26
"2275","PRESSCUT INDUSTRIES","01-East",733444200,664,69.38,594.62
"2276","PRIME MACHINE","01-East",770520000,906,48.32,857.68
"2277","PROCEDYNE CORP","01-East",737321000,74163.08,34479.25,39683.83
"2278","PROCEDYNE CORP","01-East",727000140,60538,8379.39,52158.61
"2279","PROCEDYNE CORP","01-East",754477000,51914.8,19034.55,32880.25
"2280","PROCEDYNE CORP","01-East",754527000,30667.18,10318.04,20349.14
"2281","PROCEDYNE CORP","01-East",764821000,29892,3411.25,26480.75
"2282","PROCEDYNE CORP","01-East",739681100,17674,7829.95,9844.05
"2283","PROCEDYNE CORP","01-East",734311100,14840,1859.92,12980.08
"2284","PROCEDYNE CORP","01-East",739781100,8942.74,3522.77,5419.97
"2285","PROCEDYNE CORP","01-East",754907000,8493.74,1710.68,6783.06
"2286","PROCEDYNE CORP","01-East",764601000,8116,1062.88,7053.12
"2287","PROCEDYNE CORP","01-East",764902000,6689,1213.22,5475.78
"2288","PROCEDYNE CORP","01-East",779958793,6090,2064.75,4025.25
"2289","PROCEDYNE CORP","01-East",764781000,5856,817.8,5038.2
"2290","PROCEDYNE CORP","01-East",777642000,4122.3,1246.55,2875.75
"2291","PROCEDYNE CORP","01-East",734711100,2309.67,515,1794.67
"2292","PROCEDYNE CORP","01-East",777601000,2244.26,621.74,1622.52
"2293","PROCEDYNE CORP","01-East",733525600,2070,273.08,1796.92
"2294","PROCEDYNE CORP","01-East",739761100,1639.14,723.93,915.21
"2295","PROCEDYNE CORP","01-East",764521000,1499.85,199.38,1300.47
"2296","PROCEDYNE CORP","01-East",764901000,1196,258.3,937.7
"2297","PROCEDYNE CORP","01-East",754427000,824.35,293.39,530.96
"2298","PROCEDYNE CORP","01-East",739541000,345.31,71.62,273.69
"2299","PROCEDYNE CORP","01-East",766121000,291.55,23.95,267.6
"2300","PROCEDYNE CORP","01-East",739561200,257.6,72.33,185.27
"2301","PROCEDYNE CORP","01-East",754447000,240.5,98.42,142.08
"2302","PROCEDYNE CORP","01-East",779957077,74.9,34.6,40.3
"2303","PROCESS RESEARCH PRODUCTS","01-East",777990000,4950,872,4078
"2304","PTI THERMAL SOLUTIONS","01-East",764827550,268742.4,95177.28,173565.12
"2305","PTI THERMAL SOLUTIONS","01-East",768121000,200741,96982.28,103758.72
"2306","PTI THERMAL SOLUTIONS","01-East",724281410,178670.1,101168.46,77501.64
"2307","PTI THERMAL SOLUTIONS","01-East",764821000,115398.6,43190.11,72208.49
"2308","PTI THERMAL SOLUTIONS","01-East",764521000,110633,39323.38,71309.62
"2309","PTI THERMAL SOLUTIONS","01-East",740361900,84115.2,46604.54,37510.66
"2310","PTI THERMAL SOLUTIONS","01-East",764901000,80419,38626.14,41792.86
"2311","PTI THERMAL SOLUTIONS","01-East",766121000,68140,26226.79,41913.21
"2312","PTI THERMAL SOLUTIONS","01-East",739457000,59365.44,37211.37,22154.07
"2313","PTI THERMAL SOLUTIONS","01-East",733525600,58721.75,9846.1,48875.65
"2314","PTI THERMAL SOLUTIONS","01-East",734251300,57087.41,5801,51286.41
"2315","PTI THERMAL SOLUTIONS","01-East",764900005,51624.8,21586.28,30038.52
"2316","PTI THERMAL SOLUTIONS","01-East",779988846,48199.68,21187.84,27011.84
"2317","PTI THERMAL SOLUTIONS","01-East",764901005,47880,19955,27925
"2318","PTI THERMAL SOLUTIONS","01-East",740382201,38174,19672.05,18501.95
"2319","PTI THERMAL SOLUTIONS","01-East",777601000,31598.3,8892.49,22705.81
"2320","PTI THERMAL SOLUTIONS","01-East",780680000,17560.8,6300.48,11260.32
"2321","PTI THERMAL SOLUTIONS","01-East",759821000,13578.84,4074.2,9504.64
"2322","PTI THERMAL SOLUTIONS","01-East",733211050,11389.8,3292.37,8097.43
"2323","PTI THERMAL SOLUTIONS","01-East",764902000,10772,5130.8,5641.2
"2324","PTI THERMAL SOLUTIONS","01-East",766162000,10674,4147.92,6526.08
"2325","PTI THERMAL SOLUTIONS","01-East",734351200,10269.36,1441.25,8828.11
"2326","PTI THERMAL SOLUTIONS","01-East",771400000,8450.7,299.9,8150.8
"2327","PTI THERMAL SOLUTIONS","01-East",764821161,7800,7440,360
"2328","PTI THERMAL SOLUTIONS","01-East",768141000,7325.05,2447.63,4877.42
"2329","PTI THERMAL SOLUTIONS","01-East",764822000,7133.9,2479.64,4654.26
"2330","PTI THERMAL SOLUTIONS","01-East",766122000,6650,2403.85,4246.15
"2331","PTI THERMAL SOLUTIONS","01-East",795900000,5850,1033.66,4816.34
"2332","PTI THERMAL SOLUTIONS","01-East",780640000,4567.23,1618.55,2948.68
"2333","PTI THERMAL SOLUTIONS","01-East",777904301,4091.43,1527.09,2564.34
"2334","PTI THERMAL SOLUTIONS","01-East",779956886,3900,1557.21,2342.79
"2335","PTI THERMAL SOLUTIONS","01-East",734910000,3545.4,945.11,2600.29
"2336","PTI THERMAL SOLUTIONS","01-East",733211000,3133.1,904.47,2228.63
"2337","PTI THERMAL SOLUTIONS","01-East",779986951,2700,1442.58,1257.42
"2338","PTI THERMAL SOLUTIONS","01-East",734830000,1951.6,312.5,1639.1
"2339","PTI THERMAL SOLUTIONS","01-East",733444200,1938,386.4,1551.6
"2340","PTI THERMAL SOLUTIONS","01-East",781660000,1868.52,564.32,1304.2
"2341","PTI THERMAL SOLUTIONS","01-East",779956887,1753.92,512.34,1241.58
"2342","PTI THERMAL SOLUTIONS","01-East",733484900,1707.2,347.01,1360.19
"2343","PTI THERMAL SOLUTIONS","01-East",739561000,1609.92,681.76,928.16
"2344","PTI THERMAL SOLUTIONS","01-East",738521000,1263.36,1194.24,69.12
"2345","PTI THERMAL SOLUTIONS","01-East",733444300,1162.8,277.02,885.78
"2346","PTI THERMAL SOLUTIONS","01-East",739561200,1073.4,289.32,784.08
"2347","PTI THERMAL SOLUTIONS","01-East",764482000,692,170.48,521.52
"2348","PTI THERMAL SOLUTIONS","01-East",770570000,640.5,95.41,545.09
"2349","PTI THERMAL SOLUTIONS","01-East",777903000,485.1,167.33,317.77
"2350","PTI THERMAL SOLUTIONS","01-East",793330000,423.3,53.01,370.29
"2351","PTI THERMAL SOLUTIONS","01-East",734990000,400.96,110.59,290.37
"2352","PTI THERMAL SOLUTIONS","01-East",779956599,264,171.96,92.04
"2353","PTI THERMAL SOLUTIONS","01-East",737902100,185.3,33.87,151.43
"2354","PTI THERMAL SOLUTIONS","01-East",777642000,183,75.54,107.46
"2355","PUGET SOUND NAVAL","01-East",733671000,2741.76,225.1,2516.66
"2356","PYROTEK INC","01-East",726020015,25617.4,20817.63,4799.77
"2357","PYROTEK INC","01-East",777902300,18566.1,9820.1,8746
"2358","PYROTEK INC","01-East",733151520,17118,7773.56,9344.44
"2359","PYROTEK INC","01-East",733525400,17020,7449.16,9570.84
"2360","PYROTEK INC","01-East",771320000,16332,4270.57,12061.43
"2361","PYROTEK INC","01-East",737321000,16104.71,5995.92,10108.79
"2362","PYROTEK INC","01-East",733464500,9484,4458.26,5025.74
"2363","PYROTEK INC","01-East",777903800,5287.06,1853.81,3433.25
"2364","PYROTEK INC","01-East",764821000,4316,1597.23,2718.77
"2365","PYROTEK INC","01-East",739681100,3555.36,3756.44,-201.08
"2366","PYROTEK INC","01-East",733211000,3370,2084.23,1285.77
"2367","PYROTEK INC","01-East",764901050,3042,1137.22,1904.78
"2368","PYROTEK INC","01-East",777902200,2489.27,1155.09,1334.18
"2369","PYROTEK INC","01-East",737301000,2314.5,981.45,1333.05
"2370","PYROTEK INC","01-East",734611100,2145.68,582,1563.68
"2371","PYROTEK INC","01-East",781590000,2126.52,436.37,1690.15
"2372","PYROTEK INC","01-East",754267000,2067.12,607.32,1459.8
"2373","PYROTEK INC","01-East",733510000,1669.75,1158.11,511.64
"2374","PYROTEK INC","01-East",734311100,1637.68,410.82,1226.86
"2375","PYROTEK INC","01-East",768221000,1542.4,566.08,976.32
"2376","PYROTEK INC","01-East",770260000,1474.2,202.89,1271.31
"2377","PYROTEK INC","01-East",776131000,1156.68,907.49,249.19
"2378","PYROTEK INC","01-East",768021000,1128,599.57,528.43
"2379","PYROTEK INC","01-East",770330000,1071,193.29,877.71
"2380","PYROTEK INC","01-East",773161000,1060.29,235.29,825
"2381","PYROTEK INC","01-East",777901100,1033.2,561.18,472.02
"2382","PYROTEK INC","01-East",754885000,1006.92,181.83,825.09
"2383","PYROTEK INC","01-East",733442000,975,477.95,497.05
"2384","PYROTEK INC","01-East",766121000,865,272.48,592.52
"2385","PYROTEK INC","01-East",733423700,761.6,452.56,309.04
"2386","PYROTEK INC","01-East",733505200,710.5,327.94,382.56
"2387","PYROTEK INC","01-East",739561000,656.64,342.83,313.81
"2388","PYROTEK INC","01-East",737261000,650.06,279.93,370.13
"2389","PYROTEK INC","01-East",764761000,648,368.58,279.42
"2390","PYROTEK INC","01-East",768241000,432.9,159.21,273.69
"2391","PYROTEK INC","01-East",739641100,348.48,274.86,73.62
"2392","PYROTEK INC","01-East",772101000,308.21,94.57,213.64
"2393","PYROTEK INC","01-East",764781000,308,143.12,164.88
"2394","PYROTEK INC","01-East",739661100,294.24,300.99,-6.75
"2395","PYROTEK INC","01-East",733151600,210,106.23,103.77
"2396","PYROTEK INC","01-East",734711100,203.04,54.4,148.64
"2397","PYROTEK INC","01-East",771991000,192.63,69.89,122.74
"2398","PYROTEK INC","01-East",739541000,191.81,71.62,120.19
"2399","PYROTEK INC","01-East",739561200,148.74,76.67,72.07
"2400","PYROTEK INC","01-East",773191000,99.55,22.47,77.08
"2401","PYROTEK INC","01-East",772051000,42.13,14.05,28.08
"2402","QUADNA - PHOENIX","01-East",764605000,3912,153.87,3758.13
"2403","QUADNA - PHOENIX","01-East",734311100,381.48,33.7,347.78
"2404","QUADNA","01-East",737321000,7095.36,3506.88,3588.48
"2405","QUADNA","01-East",737311000,5345.28,3612.48,1732.8
"2406","QUADNA","01-East",764605000,4633.6,828.08,3805.52
"2407","QUADNA","01-East",764262000,607.2,66.92,540.28
"2408","QUADNA","01-East",734211200,413.88,46.76,367.12
"2409","QUICK CUT GASKET & RUBBER","01-East",733464500,313,32.53,280.47
"2410","R.L. WILLIAMS & CO., INC.","01-East",735602000,7344,2044.25,5299.75
"2411","RACING INDUSTRIES","01-East",730710500,4911,638.67,4272.33
"2412","RACING INDUSTRIES","01-East",730552560,3214,386.21,2827.79
"2413","RAINBOW ART GLASS INC.","01-East",733671000,3595.54,344.76,3250.78
"2414","RAMPART SUPPLY","01-East",792610000,690,80.93,609.07
"2415","RATH INCORPORATED","01-East",764261110,111760,38351.84,73408.16
"2416","RATH INCORPORATED","01-East",727031200,40867.2,12028.68,28838.52
"2417","RATH INCORPORATED","01-East",764301020,37302.5,13089.33,24213.17
"2418","RATH INCORPORATED","01-East",764821026,35980,8592.99,27387.01
"2419","RATH INCORPORATED","01-East",727000140,31579.2,12684.05,18895.15
"2420","RATH INCORPORATED","01-East",727063000,21135.6,8166.88,12968.72
"2421","RATH INCORPORATED","01-East",764521000,18735,4580.45,14154.55
"2422","RATH INCORPORATED","01-East",727063016,14461.2,5558.54,8902.66
"2423","RATH INCORPORATED","01-East",727063007,11025,4426.5,6598.5
"2424","RATH INCORPORATED","01-East",727063018,11025,4447.51,6577.49
"2425","RATH INCORPORATED","01-East",766121000,6845,2016.42,4828.58
"2426","RATH INCORPORATED","01-East",764601000,2753.75,397.94,2355.81
"2427","RATH INCORPORATED","01-East",764781000,456,121.22,334.78
"2428","RATH INCORPORATED","01-East",766162000,190.5,74.74,115.76
"2429","RAYTEQ LLC","01-East",776101000,387,182.84,204.16
"2430","RAYTHEON","01-East",724261200,1572,156.4,1415.6
"2431","RAYTHEON","01-East",764482000,692,34.1,657.9
"2432","RAYTHEON","01-East",739561000,473.76,85.22,388.54
"2433","RB LLC","01-East",768144200,22394,6662.37,15731.63
"2434","RB LLC","01-East",768133000,7630,2183.01,5446.99
"2435","RB LLC","01-East",768241100,4760,1248.8,3511.2
"2436","RBC BEARINGS, INC.","01-East",740361900,1401.6,457.49,944.11
"2437","RBC INDUSTRIES","01-East",779987651,3324,408.97,2915.03
"2438","RECON","01-East",733403200,996.6,99.17,897.43
"2439","RECON","01-East",733383000,985.6,163.93,821.67
"2440","RED-RAY MFG","01-East",734311100,1851.48,202.22,1649.26
"2441","REDCO","01-East",733211000,958,106.4,851.6
"2442","REDCO","01-East",792760000,356.72,58.31,298.41
"2443","REFRACTORY ANCHORS INC","01-East",734351204,1836,278.52,1557.48
"2444","REFRACTORY ENGINEERS INC.","01-East",777730021,7482,4876.8,2605.2
"2445","REFRACTORY ENGINEERS INC.","01-East",793330000,6681,1827.48,4853.52
"2446","REFRACTORY ENGINEERS INC.","01-East",793330074,5208,2700.8,2507.2
"2447","REFRACTORY ENGINEERS INC.","01-East",727000440,4023.6,751.7,3271.9
"2448","REFRACTORY ENGINEERS INC.","01-East",777720000,3142.08,2253.92,888.16
"2449","REFRACTORY ENGINEERS INC.","01-East",777762000,956.48,2814.56,-1858.08
"2450","REFRACTORY ENGINEERS INC.","01-East",792614000,858,180.97,677.03
"2451","REFRACTORY ENGINEERS INC.","01-East",792654000,638,259.35,378.65
"2452","REFRACTORY MAINTENANCE CO","01-East",718500000,29539.84,6517.91,23021.93
"2453","REFRACTORY MAINTENANCE CO","01-East",724311400,12808,3065.01,9742.99
"2454","REFRACTORY MAINTENANCE CO","01-East",737321000,7276.54,1713.12,5563.42
"2455","REFRACTORY MAINTENANCE CO","01-East",734990000,6374.32,938.93,5435.39
"2456","REFRACTORY MAINTENANCE CO","01-East",777901100,2646,982.06,1663.94
"2457","REFRACTORY MAINTENANCE CO","01-East",777901300,2321.55,849.15,1472.4
"2458","REFRACTORY MAINTENANCE CO","01-East",740382201,859,293.77,565.23
"2459","REFRACTORY SERVICE INC.","01-East",755065000,40554,13761.54,26792.46
"2460","REFRACTORY SERVICE INC.","01-East",779988827,9920.18,4882.75,5037.43
"2461","REFRACTORY SERVICE INC.","01-East",734851000,2581.71,548.4,2033.31
"2462","REFRACTORY SERVICE INC.","01-East",777642000,344.4,95.01,249.39
"2463","REINHOLD INDUSTRIES INC.","01-East",733403200,1133,99.17,1033.83
"2464","RESTORATION SUPPLY CO.","01-East",733151500,922,101.8,820.2
"2465","REVERE COPPER PRODUCTS IN","01-East",770220000,635.4,82.04,553.36
"2466","REX ROTO CORP","01-East",793250074,543,313.78,229.22
"2467","REX ROTO CORP","01-East",733464500,152,29.52,122.48
"2468","RHI CANADA INC.","01-East",737301000,2469.12,2575.36,-106.24
"2469","RHI-MONOFRAX LTD.","01-East",734351200,1945.8,147.24,1798.56
"2470","RHI-MONOFRAX LTD.","01-East",734251300,1176.05,88.29,1087.76
"2471","RHI-MONOFRAX LTD.","01-East",733525500,752.5,70.39,682.11
"2472","RHI-MONOFRAX LTD.","01-East",779081000,698.56,106.23,592.33
"2473","RHI-MONOFRAX LTD.","01-East",734751200,584,75.41,508.59
"2474","RIVE TECHNOLOGY","01-East",733444100,332,75.04,256.96
"2475","ROBBIE HOLLAND WELDING","01-East",764822000,894,31.77,862.23
"2476","ROGERS CORP","01-East",733525500,12582,1364.95,11217.05
"2477","ROSEMOUNT ANALYTICAL INC.","01-East",724281200,2947,421.87,2525.13
"2478","RSG AERODESIGN, LLC","01-East",724281200,601,89.08,511.92
"2479","RTI FABRICATION","01-East",737671000,2478.2,326.5,2151.7
"2480","S & S SUPPLIES &","01-East",771120000,8595,285.54,8309.46
"2481","S & S SUPPLIES &","01-East",771100000,7880,244.88,7635.12
"2482","S & S SUPPLIES &","01-East",771002000,3256.5,79.49,3177.01
"2483","S & S SUPPLIES &","01-East",771000000,3084,82.45,3001.55
"2484","S & S SUPPLIES &","01-East",734910000,362,53.09,308.91
"2485","S M ENGINEERING","01-East",740382101,1742.4,549.2,1193.2
"2486","S P I","01-East",735602000,33120,10467.9,22652.1
"2487","S P I","01-East",766161000,606,308.46,297.54
"2488","S W ANDERSON","01-East",735602000,45700,16811.46,28888.54
"2489","SAES SMART MATERIALS","01-East",733525600,717.5,65.49,652.01
"2490","SAES SMART MATERIALS","01-East",764342000,429.5,23.4,406.1
"2491","SAINT GOBAIN","01-East",777601000,1933.6,360.09,1573.51
"2492","SAINT-GOBAIN","01-East",733586600,41803.2,4004.06,37799.14
"2493","SAINT-GOBAIN","01-East",766211000,2200,221.56,1978.44
"2494","SAINT-GOBAIN","01-East",738561000,1817.28,796.32,1020.96
"2495","SAINT-GOBAIN","01-East",766681100,627.3,52.66,574.64
"2496","SANDELIUS INSTRUMENTS INC","01-East",766681100,612,49.56,562.44
"2497","SANDIA NATIONAL LABS","01-East",793330000,431.5,26.01,405.49
"2498","SANDIA NATIONAL LAB","01-East",738521000,3210.24,860.71,2349.53
"2499","SANDIA NATIONAL LAB","01-East",739541000,587.52,90.5,497.02
"2500","SANDVIK HEATING","01-East",777601000,819.84,117.6,702.24
"2501","SANDVIK THERMAL PROCESS","01-East",715000050,275511.83,147685.91,127825.92
"2502","SANDVIK THERMAL PROCESS","01-East",763991000,229252.32,78195.76,151056.56
"2503","SANDVIK THERMAL PROCESS","01-East",764787510,113725.44,36139.15,77586.29
"2504","SANDVIK THERMAL PROCESS","01-East",727000140,70621.6,20680.84,49940.76
"2505","SANDVIK THERMAL PROCESS","01-East",764761010,15552,4926.87,10625.13
"2506","SANDVIK THERMAL PROCESS","01-East",734251300,2551.7,264.29,2287.41
"2507","SANDVIK THERMAL PROCESS","01-East",734211200,685.12,92.43,592.69
"2508","SANDVIK THERMAL PROCESS","01-East",733525500,431.25,70.39,360.86
"2509","SANDVIK THERMAL PROCESS","01-East",777601000,287.95,58.8,229.15
"2510","SANDY VALLEY FASTENERS","01-East",771002000,1740,43.2,1696.8
"2511","SAXON GLASS TECH INC","01-East",727063000,56.8,16.8,40
"2512","SCHWEITZER-MAUDUIT INT'L","01-East",766681100,918,74.33,843.67
"2513","SCHWEITZER-MAUDUIT INT'L","01-East",766686000,414,37.54,376.46
"2514","SCREW CONVEYOR CORP","01-East",770720000,1061,29.43,1031.57
"2515","SDK LABORATORIES","01-East",727000140,520.8,32.55,488.25
"2516","SEALING DEVICES INC","01-East",740402402,48360,23428.43,24931.57
"2517","SEALING DEVICES INC","01-East",732664000,46110,6590.83,39519.17
"2518","SEALING DEVICES INC","01-East",733525500,10660,2968.57,7691.43
"2519","SEALING DEVICES INC","01-East",732675000,7632.28,2932.8,4699.48
"2520","SEALING DEVICES INC","01-East",732663000,7458,1146.25,6311.75
"2521","SEALING DEVICES INC","01-East",740402450,6969.34,3158.52,3810.82
"2522","SEALING DEVICES INC","01-East",764490000,6775.13,1907.3,4867.83
"2523","SEALING DEVICES INC","01-East",766121000,6312,320.4,5991.6
"2524","SEALING DEVICES INC","01-East",740382201,6130,4139.77,1990.23
"2525","SEALING DEVICES INC","01-East",764489300,2931.84,953.49,1978.35
"2526","SEALING DEVICES INC","01-East",777601000,1392.2,288.08,1104.12
"2527","SEALING DEVICES INC","01-East",732630100,1062,375.01,686.99
"2528","SEALING DEVICES INC","01-East",764481000,592,170.7,421.3
"2529","SEALING DEVICES INC","01-East",733510000,537.5,141.73,395.77
"2530","SEISLER MACH & FABRICATIO","01-East",733464400,626,86.74,539.26
"2531","SELAS HEAT TECHNOLOGY CO.","01-East",734311100,981.3,105.9,875.4
"2532","SELLE SUPPLY COMPANY","01-East",735602000,232198.8,68574.11,163624.69
"2533","SELLE SUPPLY COMPANY","01-East",735752000,29569,9872.96,19696.04
"2534","SELLE SUPPLY COMPANY","01-East",764601000,23310.88,5648.72,17662.16
"2535","SELLE SUPPLY COMPANY","01-East",735750000,12683,4146.3,8536.7
"2536","SELLE SUPPLY COMPANY","01-East",764521000,12285.4,3041.49,9243.91
"2537","SELLE SUPPLY COMPANY","01-East",764561000,3540.1,908.81,2631.29
"2538","SELLE SUPPLY COMPANY","01-East",735602110,2800,875.07,1924.93
"2539","SELLE SUPPLY COMPANY","01-East",764481000,383,102.95,280.05
"2540","SELTEK INT'L INC","01-East",737009817,1707,1535.4,171.6
"2541","SEMCOR","01-East",734910000,1086,159.26,926.74
"2542","SEMICONDUCTOR PACKAGING","01-East",764821000,1341,46.97,1294.03
"2543","SEMICONDUCTOR PACKAGING","01-East",764861000,666.5,25.98,640.52
"2544","SHANNON ENTERPRISES OF WN","01-East",764902000,12575.6,3018,9557.6
"2545","SHANNON ENTERPRISES OF WN","01-East",764822000,5548,1289.48,4258.52
"2546","SHANNON ENTERPRISES OF WN","01-East",764342000,1695,552.43,1142.57
"2547","SHARP TOOL","01-East",733742000,1184,210.15,973.85
"2548","SHARP TOOL","01-East",733741000,408,119.06,288.94
"2549","SHAW ENERGY & CHEMICALS","01-East",779959409,74593.75,50403.33,24190.42
"2550","SHAW ENERGY & CHEMICALS","01-East",779959407,50866.2,16488.93,34377.27
"2551","SHAW ENERGY & CHEMICALS","01-East",779980286,31154.76,28339.8,2814.96
"2552","SHAW ENERGY & CHEMICALS","01-East",779959408,25433.1,9546.09,15887.01
"2553","SHAW ENERGY & CHEMICALS","01-East",766121000,24321,10954.02,13366.98
"2554","SHAW ENERGY & CHEMICALS","01-East",779980285,22988.7,20906.1,2082.6
"2555","SHAW ENERGY & CHEMICALS","01-East",754924010,19972.8,12785.75,7187.05
"2556","SHAW ENERGY & CHEMICALS","01-East",779980287,13225,12050,1175
"2557","SHAW ENERGY & CHEMICALS","01-East",779988139,12938.64,12043.2,895.44
"2558","SHAW ENERGY & CHEMICALS","01-East",764821000,12240,5528.85,6711.15
"2559","SHAW ENERGY & CHEMICALS","01-East",779988136,10392.32,9450.24,942.08
"2560","SHAW ENERGY & CHEMICALS","01-East",779980284,9745.5,8855.5,890
"2561","SHAW ENERGY & CHEMICALS","01-East",777902888,4935,4494,441
"2562","SHAW ENERGY & CHEMICALS","01-East",779980289,4637.25,4232.25,405
"2563","SHAW ENERGY & CHEMICALS","01-East",777902887,4200,3750,450
"2564","SHAW ENERGY & CHEMICALS","01-East",779988145,3568,1008.32,2559.68
"2565","SHAW ENERGY & CHEMICALS","01-East",779956599,2460,2239.02,220.98
"2566","SHAW ENERGY & CHEMICALS","01-East",779988134,2406.72,2188.68,218.04
"2567","SHAW ENERGY & CHEMICALS","01-East",779980290,2014.5,3285.25,-1270.75
"2568","SHAW ENERGY & CHEMICALS","01-East",779957834,1968.75,973.83,994.92
"2569","SHAW ENERGY & CHEMICALS","01-East",779988146,1962.99,1266.67,696.32
"2570","SHAW ENERGY & CHEMICALS","01-East",779988147,1847.36,1251.36,596
"2571","SHAW ENERGY & CHEMICALS","01-East",779988148,1784,717.6,1066.4
"2572","SHAW ENERGY & CHEMICALS","01-East",779988135,1452.32,1320.86,131.46
"2573","SHAW ENERGY & CHEMICALS","01-East",777902889,1265.28,10.72,1254.56
"2574","SHAW ENERGY & CHEMICALS","01-East",777902886,1098.24,1689.6,-591.36
"2575","SHAW ENERGY & CHEMICALS","01-East",777642000,840,475.05,364.95
"2576","SHAW ENERGY & CHEMICALS","01-East",779988138,611.52,556.4,55.12
"2577","SHAW ENERGY & CHEMICALS","01-East",779988137,518.1,470.8,47.3
"2578","SILURIA TECHNOLOGY","01-East",764461006,1808,138.31,1669.69
"2579","SILURIA TECHNOLOGY","01-East",764821000,860,30.72,829.28
"2580","SILURIA TECHNOLOGY","01-East",764481000,346,16.94,329.06
"2581","SION POWER CORP","01-East",720252303,293.25,6.68,286.57
"2582","SKIDMORE COLLEGE","01-East",777642000,270,63.34,206.66
"2583","SL PACIFIC","01-East",733211000,319,47.39,271.61
"2584","SMITH - SHARPE","01-East",779957935,496.2,223.89,272.31
"2585","SMITH - SHARPE","01-East",754305000,393.75,219.57,174.18
"2586","SMITHS TUBULAR SYSTEMS-","01-East",745121000,21536.8,3533.51,18003.29
"2587","SMT INTERNATIONAL LLC","01-East",733211050,479,55.91,423.09
"2588","SNYDER CONTRACTORS","01-East",770220000,554.4,56.87,497.53
"2589","SNYDER CONTRACTORS","01-East",770210000,493,60.63,432.37
"2590","SNYDER CONTRACTORS","01-East",733423600,279.36,35.9,243.46
"2591","SNYDER CONTRACTORS","01-East",777601000,271.65,72.02,199.63
"2592","SOLAR PRODUCTS INC","01-East",734351203,106800,16882.55,89917.45
"2593","SOLCOAT","01-East",734030000,12388.5,2729.61,9658.89
"2594","SOLDAR DE CHIHUAHUA S.A.","01-East",777590000,409.92,122.86,287.06
"2595","SOUND TECHNOLOGIES","01-East",764521000,4662,1114.77,3547.23
"2596","SOUND TECHNOLOGIES","01-East",764601000,4662,2210.58,2451.42
"2597","SOUTH JERSEY BOILER","01-East",734414100,776.5,89.66,686.84
"2598","SOUTH JERSEY BOILER","01-East",734211200,229.68,22.84,206.84
"2599","SOUTH JERSEY BOILER","01-East",734311100,190.74,16.85,173.89
"2600","SOUTHLANDS ENGINEERING","01-East",792650000,533,94.66,438.34
"2601","SOUTHWEST RESEARCH INST.","01-East",768121000,503,28.76,474.24
"2602","SOUTHWEST RESEARCH","01-East",764821000,3256,124.05,3131.95
"2603","SOUTHWEST RESEARCH","01-East",768121000,1257.5,71.92,1185.58
"2604","SOUTHWEST RESEARCH","01-East",764521000,960,39.89,920.11
"2605","SP &I- AUBURN MA","01-East",735602000,58200,23024.8,35175.2
"2606","SP &I- AUBURN MA","01-East",735602110,35580,14483.84,21096.16
